name,price,status,shipping,free_returns,items_sold
"VINTAGE REACH NO 2 M MUSHROOM KNOB BASEBALL BAT - PAT. AUG 1, 1905",99995,,5000,False,
New ListingVintage 1950s Mickey Mantle New York Yankees worth baseball bat,9999,,1500,False,
"Vintage H&B ""King Of The Field"" Decal Baseball Bat (1910-20's) Rare 34"" Gd Cond.",10000,,2327,False,
Vintage Louisville Slugger Baseball 16” mini bat. Al Oliver stamped autograph,1000,,1260,False,
"Vintage JC Higgins No.1720 early Wood Baseball Bat 34"" Great Memorabilia Display",40500,,2220,False,
"Vintage Hillerich & Bradsby H&B early Wood League AA Baseball Bat 34"" Louisville",26865,,2220,False,
Shop on eBay,2000,Brand New,,False,
Vintage Tommy Bridges Detroit Tigers Louisville Slugger Mini Bat ,6100,,895,True,
1960's Adirondak Houston Colt .45's Mini Baseball Bat ,6500,,0,True,
Vintage Adirondak N.Y. Philadelphia Phillies Mini Souvenir Baseball Bat #302,1800,,795,True,
1950's Louisville Slugger Mini Baseball Bat Pen: Philadelphia Athletics,2500,,455,False,
Vintage Louisville Slugger Baseball 16” mini bat. Al Oliver stamped autograph,1000,,1260,False,
VINTAGE HILLERICH & BRADSBY CO NO CB1 OFFICIAL CORK BALL BAT WOODEN BASEBALL USA,3995,,1832,False,
Vintage Louisville Slugger LS250 35'' Pepper Martin Baseball Bat,27499,,1975,False,
Vintage Roger Maris 125 Louisville Slugger Baseball Bat 34 inch Pre 1964,6999,,3134,True,
Vtg 1940s 50s Duke Snider Louisville Slugger H&B Baseball Bat 34” Dodgers WSC,6500,,2683,True,
ANTIQUE VINTAGE 1920s LOUISVILLE MASCOT FP 130 HILTON COLLINS 34in BASEBALL BAT,5000,,1995,False,
"VINTAGE LOUISVILLE SLUGGER STORE MODEL TED WILLIAMS REG US PAT OFF. 34"" RED SOX",9995,,1595,False,
"VINTAGE LOUISVILLE SLUGGER STORE MODEL 125 RH ROGERS HORNSBY 35"" REG US PAT OFF",44995,,1595,False,
"Mini Baseball Bat Mechanical Pencil, Bob Feller from Popsickle Co.",995,,595,False,
1950's Louisville Slugger Mini Red Baseball Bat Pen: Tommy Bridges Detroit Tiger,2500,,455,False,
1950's Louisville Slugger Mini Baseball Bat Pen: Baltimore Orioles,2500,,455,False,
1950's Louisville Slugger Mini Baseball Bat Pen: Boston Red Sox,2500,,455,False,
New ListingVintage Wooden Philadelphia Phillies Mini Souvenir Baseball Bat 17-3/4” Wood,1200,,550,False,
Vintage HOF Jackie Robinson 125 Louisville Slugger Genuine R17 Baseball Bat Rare,19999,,1640,False,
Vintage Mickey Mantle baseball bat ,8499,,3720,False,
Vintage Louisville Slugger Baseball Bat Large Patch Powerized KY Kentucky,4997,,629,True,
"New ListingVintage McKinnon No. 10 ""The Kind You've Always Wanted"" Miniature Baseball Bat ",5999,,1295,False,
"Hillerich & Bradsby Bat Baseball Stick Ball BE Play Ground 33"" Wood Antique Rare",4500,,0,True,
1925 1933 P Goldsmith and Sons Model A Supreme Driver Decal Bat ,70000,,2200,False,
VINTAGE HILLERICH & BRADSBY CO NO CB1 OFFICIAL CORK BALL BAT WOODEN BASEBALL USA,5000,,2703,False,
"1909-15 Ty Cobb 14"" Georgia Peach Louisville Slugger Mini Decal Baseball Bat ",15250,,395,False,
VINTAGE LOUISVILLE SLUGGER USED BASEBALL BAT HOF NELSON FOX,2495,,1595,False,
VINTAGE 1930'S KIDS BASEBALL BAT THE BEAR CAT REGLAR FELLERS TRADE MARK RF 164,9999,,0,False,
"Vintage Hillerich & Bradsby Liberty No PG Playground Baseball Bat 32""",3500,,1500,True,
1950's Louisville Slugger Mini Wood Baseball Bat Pencil: Baseball's 100th Annive,2500,,455,False,
1950's Louisville Slugger Mini Baseball Bat Pen: Charley Gehringer Det. Tiger #2,2800,,455,False,
1950's Louisville Slugger Mini Baseball Bat Pen: Charley Gehringer Detroit TIger,2500,,455,False,
1950's Louisville Slugger Baseball Bat Mini Pen: Tommy Bridges Detroit Tigers,2500,,455,False,
New ListingTed Williams Camp Bat Bag 8/19,1999,,1500,False,
Vintage Louisville Slugger Hillerich & Bradsby Co National Baseball HOF  125,1500,,349,False,
"New ListingANTIQUE 1920'S 34"" M.R. CAMPBELL  INC. BASEBALL BAT -OFFICIAL DIAMOND ",14500,,1500,False,
"VINTAGE BABE RUTH HILLERICH & B LOUISVILLE SLUGGER 40 B.R. 34"" WOOD BASEBALL BAT",149995,,5000,False,
"George Brett Vintage 125 Louisville Slugger Bat model Genuine R161 33""",4999,,8235,False,
Vintage Wilson A1200 Henry Aaron Baseball Bat,999,,2220,False,
1950's Louisville Slugger Mini Baseball Bat Pen: Baseball Hall of Fame,2800,,455,False,
"VINTAGE 29 3/4"" LOUISVILLE SLUGGER  NY YANKEES ROGER MARIS 125J LL  BASEBALL BAT",22399,,1995,False,
KANSAS CITY ATHLETICS ADARONDACK 302 16 INCH PRE ROYALS OAKLAND A'S BASEBALL BAT,999,,1000,True,
Vintage 1968 Louisville Slugger Miniature Baseball Bat   B6175,1500,,685,False,
Vintage Hillerich & Bradsby LOUISVILLE Ky CHAMPION NO. 8 Baseball Softball Bat,9400,,2200,False,
