name,price,status,shipping,free_returns,items_sold
2021-22 PANINI PRIZM NBA BASKETBALL FACTORY SEALED 24 PACK RETAIL BOX - IN HAND!,9995,,0,False,454
Spalding NBA Basketball Game New Official Size 7 29.5 Men’s Outdoor and Indoor,1799,Brand New,0,True,
Molten FIBA Basketball Category 7A (GG7X),2999,Brand New,0,False,742
2017-18 NBA HOOPS BASKETBALL CARD PICK / CHOOSE YOUR CARDS ,99,,159,False,
PUMA Men's Rebound LayUp Lo Sneakers,3299,Brand New,0,True,148
1996-97 KOBE BRYANT Fleer 23K Gold ROOKIE Card Signature Series - GEM MINT 10,1695,,0,True,
A7411- 1996-97 Topps Basketball #s 1-221 +Insert -You Pick- 10+ FREE US SHIP,99,,149,True,
1990 Hoops - #5 - Michael Jordan - All-Star - PSA 8,1100,,0,False,
2021-22 Panini Donruss Optic NBA Basketball PULSAR Vet RC Cards You Pick/Choose!,138,,0,False,
"New Spalding TF 500 Basketball, Women's And Youth Size, 28.5""",2499,Brand New,0,False,55
2021-22 PANINI PRIZM NBA BASKETBALL FACTORY SEALED 24 PACK RETAIL BOX - IN HAND!,9995,,0,False,101
Youth Steph Curry Basketball Uniform - Jersey & Shorts  - Warriors - Sizes 5-9,1995,Brand New,469,False,21
adidas Men's Own The Game 2.0 Black White Basketball Shoes Sneakers Trainers New,5995,Brand New,0,True,
MICHAEL JORDAN 1998 Fleer '86 ROOKIE 23KT Gold Card Rookie Signature Gem Mint 10,1595,,0,True,221
PUMA Men's Rebound LayUp Sneakers,4499,Brand New,0,True,
LOT OF OLD Vintage UNOPENED BASKETBALL CARDS PACKS Michael Jordan Card Bonuses,2395,Pre-Owned,0,False,
2019 FIRST GOLD LIGHTNING H.S. VICTOR WEMBANYAMA ROOKIE CARD RC 2023 NBA#1 PICK?,1699,,0,False,73
Shop on eBay,2000,Brand New,,False,
5LB SPORTS CARDS LOT-ALL FOUR MAJOR SPORTS AND MORE  1960's - 2017-FREE SHIPPING,2999,,0,False,
4 Pairs Cooling Arm Sleeves Cover UV Sun Protection Outdoor Sports Basketball,998,Brand New,0,True,312
Puma 376640-10 Triple   Mens Basketball Sneakers Shoes Casual   - Purple - Size,3759,Brand New,0,True,
"Spalding NBA Outdoor Rubber Basketball, Size 7 - Orange AIR PUMP INCLUDED",1989,Brand New,0,True,
MICHAEL JORDAN 1998 Fleer '86 ROOKIE 23KT Gold Card Rookie Signature Gem Mint 10,1595,,0,True,221
PUMA Men's Rebound LayUp Sneakers,4499,Brand New,0,True,
Indiana University Hoosiers 2022-23 Men's Basketball Poster Schedule - New,1149,Brand New,725,False,
Nike Dunk High Black White Panda MENS DD1399-105,11000,Brand New,1495,False,59
3 Pairs Mens Winter Heavy Duty Warm Thermal Merino Lambs Wool Boots Socks 10-13,1199,Brand New,0,True,
Reebok Men's Resonator Mid Basketball Shoes,5124,Brand New,0,True,
Nike Air Jordan 1 Mid Shoes Bred Toe Red Black White 554724-079 Men's or GS NEW,10312,Brand New,1495,True,
Under Armour UA 3Z5 Steph Curry Men’s Athletic Sneaker Basketball Shoe #4106,6999,Brand New,0,True,
2021-22 Panini NBA G League Basketball Complete Your Set!! You Choose!!,138,,65,False,
adidas Harden Vol. 6 Shoes Men's,13700,Brand New,0,True,
"Heated Vest,USB Electric Heating Vest,Lightweight Warm Vest,Battery Pack Include",2298,New (Other),0,True,
Michael Jordan Mega-Deal Licensed Cards Graded Gem-Mint 10 - SET OF 6 - LOW $$$$,9995,,0,True,
"Air Jordan 1 Mid Shoes ""Taxi"" Black Yellow White 554724-701 Men's Multi Size NEW",13000,Brand New,1495,False,22
2021-2022 Donruss Basketball # 1-200 YOU PICK,105,,100,False,
Puma 192979-03 Uproar Spectra   Mens Basketball Sneakers Shoes Casual   - Yellow,3499,Brand New,0,True,166
1975 TOPPS BASKETBALL #1 TO 200 SELECT FROM OUR LIST,99,,100,True,
FastBreak SERIES 9 Basketball Pack Guaranteed PSA Slab / Luka Zion Lamelo HOT🔥 ,3495,,325,False,
Air Jordan 4 Midnight Navy White Cement Gray Men's: DH6927-140  & GS: 408452-140,21420,Brand New,1495,False,
2021-22 Panini Prizm Basketball NBA Mega Box *IN HAND*  Ready To Ship 📦,6999,,0,False,60
Air Jordan 1 High OG Chicago Reimagined Lost and Found DZ5485-612 In Hand Now,26997,Brand New,1495,False,13
2021-22 Panini Prizm Basketball Retail Box Factory Sealed 24 Packs per box,10218,Brand New,0,False,91
2019-20 DONRUSS OPTIC basketball cards PICK FROM A LIST free shipping PWE,99,,0,True,
"Spalding TF-1000 SSAC Basketball 29.5"" NFHS Indoor Elite Play Composite Leather",3797,Brand New,0,True,
Puma 376451-01 Triple Mid   Mens Basketball Sneakers Shoes Casual   - Red - Size,3759,Brand New,0,True,
