name,price,status,shipping,free_returns,items_sold
SUPER MARIO DONKEY KONG 64 KART POKEMON STADIUM 2 Paper for Nintendo N64 Console,2199,New (Other),0,False,82
Wii Games with Manuals,900,New (Other),0,False,
Mario & Sonic at the Olympic Games: Tokyo 2020 - Nintendo Switch In Retail Box,2195,New (Other),0,True,294
Pokemon Scarlet & Pokemon Violet Double Pack for Nintendo Switch NEW!,9900,Brand New,0,True,
Miraidon for Scarlet / Violet (Read Description),299,Brand New,0,True,89
Pokemon Scarlet and Violet ~ Legit Non-Shiny Paldea Starters ~ Same Day Delivery,999,Brand New,0,False,36
Cod Modern Warfare 2: 4 MW2 Jack Links Codes - double XP + 4 items FAST DELIVERY,2299,Brand New,0,False,275
⭐ Custom Teams ⭐ Pokémon Scarlet and Violet ⭐ 6IV ⭐  (Fast Delivery),700,Brand New,0,False,
FOREIGN 6IV DITTO-  POKEMON SCARLET AND VIOLET ✨✨ FAST DELIVERY,500,New (Other),0,False,188
"Marvels Spider-Man: Miles Morales, PlayStation 5 - PlayStation 5",,Brand New,399,False,94
"ALL 3 SCARLET & VIOLET STARTERS | 6IV SHINY EGGS | SPRIGATITO, FUECOCO, QUAXLY",588,Brand New,0,False,304
Xbox Series X (Certified Refurbished),46999,Certified - Refurbished,0,True,574
Mario Kart 8 Deluxe - Nintendo Switch,,Brand New,0,False,288
Cod MW2 Mountain Dew code - Character skin and 30 min 2XP!!,499,Brand New,0,False,302
Pokemon Scarlet - Nintendo Switch,5495,Brand New,0,True,
Pokemon Scarlet/Violet GHOLDENGO (Reg) Lv.100 Modest 6IV w/ Beastball TRADE RARE,1499,Brand New,0,False,28
GoldenEye 007 Game Card Cartridge Console For Nintendo 64 N64 US Version,2099,Brand New,0,False,60
🥇 Pokémon Scarlet and Violet 🥇 Shiny Starters Bundle 6IV 🥇 Fast Delivery,999,Brand New,0,False,166
Shop on eBay,2000,Brand New,,False,
🥇 Pokémon Scarlet and Violet 🥇 Shiny Starters Bundle 6IV 🥇 Fast Delivery,999,Brand New,0,False,166
Ditto Shiny Masuda Destiny Knot 6IV - Pokemon Scarlet & Violet - Trading Now,350,New (Other),0,False,
"Star Citizen aUEC 100,000,000 Million Funds Ver 3.17.4 Alpha UEC Instant Secure",1089,Brand New,0,False,
For Nintendo N64 Mario Kart 64 Video Game Cartridge Console Card US Version ,2159,Brand New,0,False,60
Cod MW2 Mountain Dew code - Character skin and 30 min 2XP!!,499,Brand New,0,False,302
