name,price,status,shipping,free_returns,items_sold
Harley Quinn And Poison Ivy #1 Cover B Variant Stanley Artgerm Lau Harley Quinn ,1725,,0,False,
DC Comics Harley Quinn #32 Volume 1 2000 Series / 2003 1st Appearance No Costume,999,,542,False,
Harley Quinn #1 25th Anniversary Special Dodson Variant NM DC Comics Poison Ivy,400,,349,False,
BATMAN WHITE KNIGHT PRESENTS HARLEY QUINN 6 NM/NM+ KEY DEBUT NOIR SUIT DC 2021,495,New (Other),495,False,
HARLEY QUINN #3 (DERRICK CHEW VARIANT)(2021) COMIC BOOK ~ DC Comics,1499,Brand New,599,True,
HARLEY QUINN #1 COMIC CENTRAL EXCLUSIVE B&W VARIANT BY CHAD HARDIN LIMITED 1500,1000,,395,False,
HARLEY QUINN #1 COMIC CENTRAL EXCLUSIVE COLOR VARIANT BY CHAD HARDIN DC REBIRTH,749,,395,False,
Suicide Squad Harley Quinn Costume Accessory Glove,1299,New (Other),0,False,
Harley Quinn #14 Chew B Cover DC 2022 VF/NM Comics ,449,,500,True,
Harley Quinn And Joker Sticker/Decal,499,Brand New,0,False,
Huge Lot Of Comics - Storage Unit Find - Free Shipping!  Comic Book Lots of 25,2999,New (Other),0,False,
DCU🤡Harley Quinn #21🤡CGC 9.8 MINT!🤡Sook (Killing Joke) Variant🤡FREE SHIPPING,12999,New (Other),0,False,
Funko Pop Heroes Harley Quinn 54,2500,New (Other),1115,False,
"HARLEY QUINN DC TODDLER SUPER HERO GIRLS DOLL FIGURE MISB DC COMICS 14"" 2017 HTF",6995,Brand New,1575,False,
HARLEY QUINN #21 COVER C RYAN SOOK HOMAGE CARD STOCK VARIANT VF/NM DC HOHC 2022,359,,499,False,
2021 The Suicide Squad Harley Quinn Wanted Poster Margot Robbie DC Comics 🦇,299,,0,False,
"BATMAN & THE JOKER THE DEADLY DUO 1, 1:25 RATIO CVR D by KYLE HOTZ",1199,Brand New,0,False,
